id,name,organization,description,is_deleted,status,format,start_time,end_time,cost,city,place,event_type,specialization,participant_offline_limit,participant_online_limit,registration_deadline,livestream_link,additional_materials_link,image,is_featured,is_featured_on_yandex_afisha,
23,Исследование пользователей в UI/UX,Яндекс,"Встреча, на которой обсуждаются методы исследования пользователей при проектировании интерфейсов.",false,registration is open,hybrid,2024-06-01 10:00:00+03:00,2024-06-01 13:30:00+03:00,0,2,"пр. Медиков 3, лит А.",5,3,300,0,2024-06-01 10:00:00+03:00,,,events/23.png,false,false,UX
24,Создание интерактивных прототипов в Figma,Яндекс,"Воркшоп, на котором участники смогут попрактиковаться в создании интерактивных прототипов в Figma.",false,registration is open,online,2024-05-10 14:00:00+03:00,2024-05-10 17:30:00+03:00,0,0,,2,3,0,0,2024-05-10 14:00:00+03:00,,,events/24.png,false,false,UX
25,Микросервисы с Node.js,Яндекс,"Митап, где обсуждаются лучшие практики и стратегии для создания микросервисов с использованием Node.js.",false,registration is open,offline,2024-04-21 14:00:00+03:00,2024-04-21 17:30:00+03:00,0,1,"Покровский бульвар, д.11",3,2,0,0,2024-04-21 14:00:00+03:00,,,events/25.png,false,false,back
26,Введение в Django,Яндекс,"Вебинар для тех, кто хочет начать работать с Django, популярным фреймворком Python.",false,registration is closed,online,2024-04-04 14:00:00+03:00,2024-04-04 17:30:00+03:00,0,0,,1,2,0,0,2024-04-04 14:00:00+03:00,,,events/26.png,false,false,back
27,Работа с базами данных в Go,Яндекс,"Встреча, на которой обсуждается, как эффективно работать с базами данных в Go.",false,registration is open,hybrid,2024-05-07 14:00:00+03:00,2024-05-07 17:30:00+03:00,0,1,"Prosvet Hall, Валовая улица д.28",5,2,200,0,2024-05-07 14:00:00+03:00,,,events/27.png,false,false,back
28,Асинхронное программирование в .NET,Яндекс,"Конференция, посвященная асинхронному программированию в .NET.",false,registration is open,online,2024-05-17 14:00:00+03:00,2024-05-17 17:30:00+03:00,0,0,,2,2,0,0,2024-05-17 14:00:00+03:00,,,events/28.png,false,false,back
29,Vue.js для начинающих,Яндекс,"Вебинар, предназначенный для тех, кто хочет начать изучать Vue.js. Основные темы: основы Vue.js, роутинг и состояние.",false,registration is open,online,2024-02-01 10:00:00+03:00,2024-02-01 13:30:00+03:00,0,0,,3,1,0,0,2024-02-01 10:00:00+03:00,,,events/29.png,false,false,front
30,Современные практики в React.js,Яндекс,"Митап о последних трендах и методах в разработке с использованием React.js. Будут освещены вопросы производительности, тестирования и безопасности.",false,registration is open,online,2024-06-12 14:00:00+03:00,2024-06-12 17:30:00+03:00,0,0,,1,1,0,0,2024-06-12 14:00:00+03:00,,,events/30.png,false,false,front
31,Прогрессивные веб-приложения на чистом JavaScript,Яндекс,"Конференция, посвященная созданию PWA с использованием нативного JavaScript.",false,registration is open,hybrid,2024-04-29 10:00:00+03:00,2024-04-29 13:30:00+03:00,0,3,"Будённовский пр-т., 59",5,1,100,0,2024-04-29 10:00:00+03:00,,,events/31.png,false,false,front
32,Ангуляр в действии,Яндекс,"Воркшоп, где участники смогут попрактиковаться в создании приложений с использованием Angular под руководством опытных разработчиков.",false,registration is open,online,2024-04-28 14:00:00+03:00,2024-04-28 17:30:00+03:00,0,0,,2,1,0,0,2024-04-28 14:00:00+03:00,,,events/32.png,false,false,front
