id,event,name,description,speaker,start_time,presentation_type
39,8,Реальный опыт тестирования безопасности веб-приложений,Более подробно поговорим о теме доклада,18,2024-06-12 16:00:00+03:00,воркшоп
40,8,Тестирование безопасности веб-приложений: Будущее,Более подробно поговорим о теме доклада,13,2024-06-12 16:45:00+03:00,лекция
41,9,Основы Docker,Более подробно поговорим о теме доклада,23,2024-04-29 10:00:00+03:00,лекция
42,9,Развёртывание приложений с Docker,Более подробно поговорим о теме доклада,4,2024-04-29 10:45:00+03:00,лекция
43,9,Управление контейнерами Docker,Более подробно поговорим о теме доклада,22,2024-04-29 11:30:00+03:00,воркшоп
44,9,Кофе-брейк,Немого отдохнем,1,2024-04-29 12:15:00+03:00,кофе-брейк
45,9,Docker в производственной среде,Более подробно поговорим о теме доклада,8,2024-04-29 12:45:00+03:00,лекция
46,10,Введение в CI/CD с Jenkins,Более подробно поговорим о теме доклада,3,2024-04-28 14:00:00+03:00,лекция
47,10,Настройка Jenkins для CI/CD,Более подробно поговорим о теме доклада,14,2024-04-28 14:45:00+03:00,лекция
48,10,Jenkins в производственной среде,Более подробно поговорим о теме доклада,7,2024-04-28 15:30:00+03:00,вебинар
49,10,Кофе-брейк,Немого отдохнем,1,2024-04-28 16:15:00+03:00,кофе-брейк
50,10,Продвинутые возможности Jenkins,Более подробно поговорим о теме доклада,19,2024-04-28 16:45:00+03:00,лекция
51,11,Основы работы с Ansible,Более подробно поговорим о теме доклада,2,2024-02-07 10:00:00+03:00,лекция
52,11,Автоматизация с Ansible,Более подробно поговорим о теме доклада,12,2024-02-07 10:45:00+03:00,лекция
53,11,Ansible в производственной среде,Более подробно поговорим о теме доклада,15,2024-02-07 11:30:00+03:00,вебинар
54,11,Кофе-брейк,Немого отдохнем,1,2024-02-07 12:15:00+03:00,кофе-брейк
55,11,Продвинутые возможности Ansible,Более подробно поговорим о теме доклада,6,2024-02-07 12:45:00+03:00,лекция
56,12,Введение в Kubernetes,Более подробно поговорим о теме доклада,10,2024-05-08 14:00:00+03:00,лекция
57,12,Работа с Kubernetes,Более подробно поговорим о теме доклада,9,2024-05-08 14:45:00+03:00,лекция
58,12,Kubernetes в производственной среде,Более подробно поговорим о теме доклада,16,2024-05-08 15:30:00+03:00,вебинар
59,12,Кофе-брейк,Немого отдохнем,1,2024-05-08 16:15:00+03:00,кофе-брейк
60,12,Продвинутые возможности Kubernetes,Более подробно поговорим о теме доклада,18,2024-05-08 16:45:00+03:00,лекция
61,13,Основы Python для аналитиков,Более подробно поговорим о теме доклада,20,2024-04-07 10:00:00+03:00,лекция
62,13,Python в анализе данных,Более подробно поговорим о теме доклада,2,2024-04-07 10:45:00+03:00,лекция
63,13,Кофе-брейк,Немого отдохнем,1,2024-04-07 11:30:00+03:00,кофе-брейк
64,13,Расширенные возможности Python в аналитике,Более подробно поговорим о теме доклада,4,2024-04-07 12:00:00+03:00,вебинар
65,13,Современные инструменты Python для аналитики,Более подробно поговорим о теме доклада,17,2024-04-07 12:45:00+03:00,вебинар
66,14,Инструменты бизнес-аналитики,Более подробно поговорим о теме доклада,14,2024-05-18 14:00:00+03:00,лекция
67,14,Методы анализа в бизнес-аналитике,Более подробно поговорим о теме доклада,13,2024-05-18 14:45:00+03:00,лекция
68,14,Кофе-брейк,Немого отдохнем,1,2024-05-18 15:30:00+03:00,кофе-брейк
69,14,Применение инструментов бизнес-аналитики,Более подробно поговорим о теме доклада,12,2024-05-18 16:00:00+03:00,вебинар
70,14,Будущее бизнес-аналитики,Более подробно поговорим о теме доклада,11,2024-05-18 16:45:00+03:00,вебинар
71,15,Сбор данных из социальных сетей,Более подробно поговорим о теме доклада,4,2024-04-28 14:00:00+03:00,лекция
72,15,Анализ данных из социальных сетей,Более подробно поговорим о теме доклада,7,2024-04-28 14:45:00+03:00,лекция
73,15,Кофе-брейк,Немого отдохнем,1,2024-04-28 15:30:00+03:00,кофе-брейк
74,15,Инструменты для анализа социальных сетей,Более подробно поговорим о теме доклада,8,2024-04-28 16:00:00+03:00,вебинар
75,15,Будущее аналитики социальных сетей,Более подробно поговорим о теме доклада,10,2024-04-28 16:45:00+03:00,вебинар
76,16,Введение в Big Data,Более подробно поговорим о теме доклада,11,2024-05-05 14:00:00+03:00,лекция
77,16,Проблемы в области Big Data,Более подробно поговорим о теме доклада,14,2024-05-05 14:45:00+03:00,лекция
78,16,Кофе-брейк,Немого отдохнем,1,2024-05-05 15:30:00+03:00,кофе-брейк
79,16,Решения в области Big Data,Более подробно поговорим о теме доклада,9,2024-05-05 16:00:00+03:00,вебинар
80,16,Будущее Big Data,Более подробно поговорим о теме доклада,3,2024-05-05 16:45:00+03:00,вебинар
81,17,Основы машинного обучения,Более подробно поговорим о теме доклада,4,2024-04-14 14:00:00+03:00,вебинар
82,17,Работа с Python для машинного обучения,Более подробно поговорим о теме доклада,7,2024-04-14 14:45:00+03:00,воркшоп
83,17,Кофе-брейк,Немого отдохнем,1,2024-04-14 15:30:00+03:00,кофе-брейк
84,17,Примеры применения машинного обучения,Более подробно поговорим о теме доклада,14,2024-04-14 16:00:00+03:00,лекция
85,17,Будущее машинного обучения,Более подробно поговорим о теме доклада,13,2024-04-14 16:45:00+03:00,вебинар
86,18,AI в геймдеве: обзор,Более подробно поговорим о теме доклада,18,2024-04-01 14:00:00+03:00,лекция
87,18,Применение AI в мобильных играх,Более подробно поговорим о теме доклада,20,2024-04-01 14:45:00+03:00,вебинар
88,18,Кофе-брейк,Немого отдохнем,1,2024-04-01 15:30:00+03:00,кофе-брейк
89,18,Сложности использования AI в играх,Более подробно поговорим о теме доклада,6,2024-04-01 16:00:00+03:00,вебинар
90,18,Будущее AI в геймдеве,Более подробно поговорим о теме доклада,7,2024-04-01 16:45:00+03:00,вебинар
91,19,AI в здравоохранении: обзор,Более подробно поговорим о теме доклада,12,2024-05-22 14:00:00+03:00,лекция
92,19,Применение AI в диагностике,Более подробно поговорим о теме доклада,13,2024-05-22 14:45:00+03:00,лекция
93,19,Кофе-брейк,Немого отдохнем,1,2024-05-22 15:30:00+03:00,кофе-брейк
94,19,Вызовы использования AI в медицине,Более подробно поговорим о теме доклада,18,2024-05-22 16:00:00+03:00,лекция
95,19,Будущее AI в здравоохранении,Более подробно поговорим о теме доклада,19,2024-05-22 16:45:00+03:00,лекция
96,20,Теория нейронных сетей,Более подробно поговорим о теме доклада,12,2024-04-15 14:00:00+03:00,вебинар
97,20,Примеры использования нейронных сетей,Более подробно поговорим о теме доклада,15,2024-04-15 14:45:00+03:00,вебинар
98,20,Кофе-брейк,Немого отдохнем,1,2024-04-15 15:30:00+03:00,кофе-брейк
99,20,Практика применения нейронных сетей,Более подробно поговорим о теме доклада,13,2024-04-15 16:00:00+03:00,воркшоп
100,20,Будущее нейронных сетей,Более подробно поговорим о теме доклада,23,2024-04-15 16:45:00+03:00,вебинар
101,21,Основы проектирования пользовательских интерфейсов,Более подробно поговорим о теме доклада,12,2024-04-16 14:00:00+03:00,вебинар
102,21,Процесс создания интерфейса от идеи до реализации,Более подробно поговорим о теме доклада,11,2024-04-16 14:45:00+03:00,вебинар
103,21,Кофе-брейк,Немого отдохнем,1,2024-04-16 15:30:00+03:00,кофе-брейк
104,21,Как учесть потребности пользователя при разработке интерфейса,Более подробно поговорим о теме доклада,13,2024-04-16 16:00:00+03:00,воркшоп
105,21,Интерфейс как средство взаимодействия с продуктом,Более подробно поговорим о теме доклада,23,2024-04-16 16:45:00+03:00,вебинар
106,22,Введение в UX-дизайн,Более подробно поговорим о теме доклада,5,2024-04-29 14:00:00+03:00,вебинар
107,22,Создание эффективного продукта с точки зрения UX,Более подробно поговорим о теме доклада,6,2024-04-29 14:45:00+03:00,вебинар
108,22,Кофе-брейк,Немого отдохнем,1,2024-04-29 15:30:00+03:00,кофе-брейк
109,22,Как улучшить UX продукта с помощью тестирования,Более подробно поговорим о теме доклада,9,2024-04-29 16:00:00+03:00,воркшоп
110,22,UX-дизайн как инструмент для повышения конверсии,Более подробно поговорим о теме доклада,20,2024-04-29 16:45:00+03:00,вебинар
111,23,Методы исследования пользователей в UI/UX,Более подробно поговорим о теме доклада,4,2024-06-01 10:00:00+03:00,вебинар
112,23,Как правильно проводить исследование пользователей,Более подробно поговорим о теме доклада,7,2024-06-01 10:45:00+03:00,вебинар
113,23,Кофе-брейк,Немого отдохнем,1,2024-06-01 11:30:00+03:00,кофе-брейк
114,23,Использование данных исследования пользователей при проектировании интерфейсов,Более подробно поговорим о теме доклада,3,2024-06-01 12:00:00+03:00,воркшоп
115,23,Кейс: исследование пользователей в проекте X,Более подробно поговорим о теме доклада,12,2024-06-01 12:45:00+03:00,вебинар
116,24,Введение в Figma и создание интерактивных прототипов,Более подробно поговорим о теме доклада,8,2024-05-10 14:00:00+03:00,вебинар
117,24,Практика: создаем свой первый интерактивный прототип в Figma,Более подробно поговорим о теме доклада,19,2024-05-10 14:45:00+03:00,вебинар
118,24,Кофе-брейк,Немого отдохнем,1,2024-05-10 15:30:00+03:00,кофе-брейк
119,24,Как использовать Figma для работы над большими проектами,Более подробно поговорим о теме доклада,3,2024-05-10 16:00:00+03:00,воркшоп
120,24,Кейс: использование Figma в проекте Y,Более подробно поговорим о теме доклада,5,2024-05-10 16:45:00+03:00,вебинар
121,25,Архитектура микросервисов,Более подробно поговорим о теме доклада,12,2024-04-21 14:00:00+03:00,вебинар
122,25,Применение Node.js в микросервисах,Более подробно поговорим о теме доклада,21,2024-04-21 14:45:00+03:00,вебинар
123,25,Кофе-брейк,Немого отдохнем,1,2024-04-21 15:30:00+03:00,кофе-брейк
124,25,Безопасность в микросервисах,Более подробно поговорим о теме доклада,4,2024-04-21 16:00:00+03:00,воркшоп
125,25,Микросервисы и масштабирование,Более подробно поговорим о теме доклада,8,2024-04-21 16:45:00+03:00,вебинар
126,26,Основы Django,Более подробно поговорим о теме доклада,9,2024-04-04 14:00:00+03:00,вебинар
127,26,Работа с формами в Django,Более подробно поговорим о теме доклада,3,2024-04-04 14:45:00+03:00,вебинар
128,26,Кофе-брейк,Немого отдохнем,1,2024-04-04 15:30:00+03:00,кофе-брейк
129,26,Django REST Framework,Более подробно поговорим о теме доклада,17,2024-04-04 16:00:00+03:00,воркшоп
130,26,Тестирование в Django,Более подробно поговорим о теме доклада,14,2024-04-04 16:45:00+03:00,вебинар
131,27,Go и SQL,Более подробно поговорим о теме доклада,16,2024-05-07 14:00:00+03:00,вебинар
132,27,Go и NoSQL,Более подробно поговорим о теме доклада,5,2024-05-07 14:45:00+03:00,вебинар
133,27,Кофе-брейк,Немого отдохнем,1,2024-05-07 15:30:00+03:00,кофе-брейк
134,27,ORM в Go,Более подробно поговорим о теме доклада,21,2024-05-07 16:00:00+03:00,воркшоп
135,27,Тестирование баз данных в Go,Более подробно поговорим о теме доклада,23,2024-05-07 16:45:00+03:00,вебинар
136,28,Асинхронность в C,Более подробно поговорим о теме доклада,6,2024-05-17 14:00:00+03:00,вебинар
137,28,NET и Task Parallel Library,Более подробно поговорим о теме доклада,16,2024-05-17 14:45:00+03:00,вебинар
138,28,Кофе-брейк,Немого отдохнем,1,2024-05-17 15:30:00+03:00,кофе-брейк
139,28,Асинхронное тестирование в .NET,Более подробно поговорим о теме доклада,5,2024-05-17 16:00:00+03:00,воркшоп
140,28,Практические случаи асинхронного программирования,Более подробно поговорим о теме доклада,15,2024-05-17 16:45:00+03:00,вебинар
141,29,Введение в Vue.js,Более подробно поговорим о теме доклада,2,2024-02-01 10:00:00+03:00,вебинар
142,29,Разработка в Vue.js,Более подробно поговорим о теме доклада,4,2024-02-01 10:45:00+03:00,вебинар
143,29,Кофе-брейк,Немого отдохнем,1,2024-02-01 11:30:00+03:00,кофе-брейк
144,29,Тестирование в Vue.js,Более подробно поговорим о теме доклада,8,2024-02-01 12:00:00+03:00,воркшоп
145,29,Vue.js и Vuex,Более подробно поговорим о теме доклада,12,2024-02-01 12:45:00+03:00,вебинар
146,30,Введение в React.js,Более подробно поговорим о теме доклада,22,2024-06-12 14:00:00+03:00,вебинар
147,30,React.js и Redux,Более подробно поговорим о теме доклада,16,2024-06-12 14:45:00+03:00,вебинар
148,30,Кофе-брейк,Немого отдохнем,1,2024-06-12 15:30:00+03:00,кофе-брейк
149,30,Тестирование в React.js,Более подробно поговорим о теме доклада,15,2024-06-12 16:00:00+03:00,воркшоп
150,30,React.js и TypeScript,Более подробно поговорим о теме доклада,14,2024-06-12 16:45:00+03:00,вебинар
151,31,Введение в PWA,Более подробно поговорим о теме доклада,9,2024-04-29 10:00:00+03:00,вебинар
152,31,Создание PWA на JavaScript,Более подробно поговорим о теме доклада,7,2024-04-29 10:45:00+03:00,вебинар
153,31,Кофе-брейк,Немого отдохнем,1,2024-04-29 11:30:00+03:00,кофе-брейк
154,31,Оптимизация PWA,Более подробно поговорим о теме доклада,11,2024-04-29 12:00:00+03:00,воркшоп
155,31,Использование Service Worker в PWA,Более подробно поговорим о теме доклада,10,2024-04-29 12:45:00+03:00,воркшоп
156,32,Введение в Angular,Более подробно поговорим о теме доклада,13,2024-04-28 14:00:00+03:00,вебинар
157,32,Разработка в Angular,Более подробно поговорим о теме доклада,16,2024-04-28 14:45:00+03:00,вебинар
158,32,Кофе-брейк,Немого отдохнем,1,2024-04-28 15:30:00+03:00,кофе-брейк
159,32,Тестирование в Angular,Более подробно поговорим о теме доклада,5,2024-04-28 16:00:00+03:00,воркшоп
160,32,Динамическая загрузка компонентов в Angular,Более подробно поговорим о теме доклада,18,2024-04-28 16:45:00+03:00,вебинар
